salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
concejo>asamblea,2011,2015,JOSE ALEJANDRO ARANGO CUERO,JOSE ALEJANDRO ARANGO CUERO,31,31-001,31-001,MOVIMIENTO DE INCLUSION Y OPORTUNIDADES,PARTIDO LIBERAL COLOMBIANO,false,3459,10694,3.0916,10694,6019,0.5628,,,
concejo>asamblea,2011,2015,LUDYS ESTHER RODRIGUEZ ANGULO,LUDYS ESTHER RODRIGUEZ ANGULO,13,13-001,13-001,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,3353,18483,5.5124,18483,7502,0.4059,,,
concejo>asamblea,2011,2015,LUIS GABRIEL DEGIOVANNI BEHAINE,LUIS GABRIEL DEGIOVANNI BEHAINE,13,13-001,13-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,3142,22097,7.0328,22097,7405,0.3351,,,
concejo>asamblea,2011,2015,LUZDEY MARTINEZ MARTINEZ,LUZDEY MARTINEZ MARTINEZ,31,31-079,31-079,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,3076,15835,5.1479,15835,4962,0.3134,,,
concejo>asamblea,2011,2015,GUILLERMO MONTALVO OROZCO,GUILLERMO MONTALVO OROZCO,31,31-079,31-079,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,3070,32968,10.7388,32968,18263,0.554,,,
concejo>asamblea,2011,2015,DUBERNEY POLANIA SILVA,DUBERNEY POLANIA SILVA,31,31-001,31-001,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO LIBERAL COLOMBIANO,false,3008,10918,3.6297,10918,9063,0.8301,,,
concejo>asamblea,2011,2015,ROCIO DE JESUS PINEDA GARCIA,ROCIO DE JESUS PINEDA GARCIA,01,01-001,01-001,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,2640,7687,2.9117,7687,3839,0.4994,,,
concejo>asamblea,2011,2015,HECTOR FABIO VELEZ BERMUDEZ,HECTOR FABIO VELEZ BERMUDEZ,52,52-001,52-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,2593,12366,4.769,12366,8263,0.6682,,,
concejo>asamblea,2011,2015,JUAN DANIEL PENUELA CALVACHE,JUAN DANIEL PENUELA CALVACHE,23,23-001,23-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,2450,24173,9.8665,24173,7137,0.2952,,,
concejo>asamblea,2011,2015,LUCIA AMELIA COHEN URZOLA,LUCIA AMELIA COHEN URZOLA,28,28-001,28-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,2392,18362,7.6764,18362,3988,0.2172,,,
concejo>asamblea,2011,2015,OSCAR EDUARDO APOLINAR MARTINEZ,OSCAR EDUARDO APOLINAR MARTINEZ,52,52-001,52-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,2362,12059,5.1054,12059,8158,0.6765,,,
concejo>asamblea,2011,2015,MILTON RENE CHAVES MOLINA,MILTON RENE CHAVES MOLINA,24,24-001,24-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,2313,7242,3.131,7242,4630,0.6393,,,
concejo>asamblea,2011,2015,JUAN SEBASTIAN GOMEZ GONZALES,JUAN SEBASTIAN GOMEZ GONZALES,09,09-001,09-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,2225,12760,5.7348,12760,7573,0.5935,,,
