NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Café Ormanza,Pereira,Risaralda,Calle 3 bis # 5-38 avenida del Río,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,,
Café San Nicolás,Pereira,Risaralda,Carrera 14 bis # 28-38 antigua estación de Policía,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,,
Café Comuna del Café,Pereira,Risaralda,Carrera 3 calle 59 A sector A Parque Industrial,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,4.822379,-75.731994
Coliseo de Hockey Miguel Calero,Cali,Valle del Cauca,Coliseo de Hockey Miguel Calero,"Guantes de construcción, gafas de seguridad, cascos, agua, colchonetas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ESPACIO PUBLICO,,
Banco de sangre Hospital Universitario del Valle,Cali,Valle del Cauca,Calle 5 # 36-08 (urgencias HUV),Donación de sangre,8:00,18:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,HOSPITAL,,
Banco de sangre Hemolife,Cali,Valle del Cauca,Calle 38 N # 3N-21 Prados del Norte,Donación de sangre,8:00,18:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,HOSPITAL,,
Banco de sangre Cruz Roja Valle,Cali,Valle del Cauca,Carrera 38 bis # 5B San Fernando (parqueadero Cruz Roja),Donación de sangre,8:00,18:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,,
Banco de sangre Fundación Valle del Lili,Cali,Valle del Cauca,Sede principal torre 2 piso 4,Donación de sangre,8:00,18:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,HOSPITAL,,
Banco de sangre Imbanaco,Cali,Valle del Cauca,Carrera 38 bis # 5B2-04 Santa Isabel,Donación de sangre,8:00,18:00,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,HOSPITAL,,
Cruz Roja - Universidad Jorge Tadeo Lozano,Bogotá,Bogotá D.C.,Carrera 4 # 22-61,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,,
Cruz Roja - Usaquén,Bogotá,Bogotá D.C.,Calle 161A # 7F-55,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,4.737135,-74.025925
Cruz Roja - Centro Comercial Unicentro,Bogotá,Bogotá D.C.,Carrera 15 # 124-30,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,4.702752,-74.042681
Banco de Alimentos de Bogotá,Bogotá,Bogotá D.C.,Calle 19A # 32-50,"Alimentos no perecederos, aseo",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,BANCO DE ALIMENTOS,4.620895,-74.089714
Hall principal Alcaldía de Medellín,Medellín,Antioquia,Hall principal de la Alcaldía de Medellín,"Alimentos no perecederos, kits de aseo. NO reciben medicamentos, ropa ni productos vencidos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ENTIDAD PUBLICA,,
Terminal del Norte,Medellín,Antioquia,Terminal del Norte local 9840,"Alimentos no perecederos, kits de aseo. NO reciben medicamentos, ropa ni productos vencidos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PRIVADO,6.279235,-75.570756
Placa cubierta Universidad EAFIT,Medellín,Antioquia,Placa cubierta de la Universidad EAFIT,"Alimentos no perecederos, kits de aseo. NO reciben medicamentos, ropa ni productos vencidos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD,,
Biblioteca Pública El Poblado,Medellín,Antioquia,Biblioteca Pública El Poblado,"Alimentos no perecederos, kits de aseo. NO reciben medicamentos, ropa ni productos vencidos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ESPACIO PUBLICO,,
