zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
01,25,5670,17,3085,226,42,29,37,10,27,37,23,79,62,864,674,224,176,224,869,633,347,211,206,235,3967,1533,1610,17,16
01,26,4056,13,1983,122,21,20,26,8,13,18,19,42,43,618,366,159,88,119,623,328,258,159,136,141,3653,1536,1409,13,15
01,27,10552,32,7350,1529,141,45,66,67,35,241,111,46,169,919,2922,757,212,646,834,2706,986,617,755,356,7952,1354,4268,32,28
01,28,6180,19,3692,407,55,37,47,19,14,62,26,38,96,936,930,286,123,296,921,871,461,278,290,222,5768,1888,2474,19,21
01,29,5647,17,3317,411,48,25,22,16,13,67,37,32,77,712,882,302,119,250,754,813,426,303,276,172,3912,1233,1668,17,15
01,30,1988,6,1068,115,14,7,15,14,6,15,16,14,17,232,263,111,39,56,232,247,174,109,72,68,1724,554,707,6,7
01,31,2456,8,830,33,5,8,4,4,2,5,7,13,6,339,115,48,47,25,355,93,91,52,27,63,1298,730,348,8,7
01,32,7579,23,4256,375,55,37,34,25,20,74,42,28,82,1208,957,315,124,311,1240,875,483,298,324,237,5329,1925,2174,23,20
01,33,6314,19,3670,326,47,31,36,23,18,60,38,36,76,1113,826,315,110,254,1035,723,471,261,269,230,5441,2028,2165,19,20
01,34,445,2,212,44,2,1,0,0,3,3,1,6,8,32,87,10,10,15,32,97,16,11,18,10,293,78,155,2,2
01,35,6332,19,4346,1072,125,29,20,43,22,133,58,14,106,398,2037,382,125,383,363,1984,462,309,462,199,4620,562,2883,19,17
01,36,4600,14,2430,148,23,21,21,12,8,33,16,21,52,792,455,177,74,168,804,397,300,206,157,145,3863,1619,1342,14,15
01,37,8082,25,6109,1906,169,22,40,52,23,223,95,17,97,305,3208,558,178,345,270,3180,608,521,502,276,6368,495,3689,25,21
01,38,5086,16,3407,853,142,22,31,46,19,82,50,16,76,259,1656,245,90,223,249,1533,327,326,305,190,5129,551,2942,16,18
